id;date;result
1;2022-01-17T16:43:58;../fake-data/blob/hipster.txt
2;2022-01-18T08:23:21;../fake-data/blob/hipster.txt
3;2022-01-17T20:01:47;../fake-data/blob/hipster.txt
4;2022-01-18T03:23:40;../fake-data/blob/hipster.txt
5;2022-01-17T18:03:51;../fake-data/blob/hipster.txt
6;2022-01-18T08:21:01;../fake-data/blob/hipster.txt
7;2022-01-18T08:12:32;../fake-data/blob/hipster.txt
8;2022-01-17T20:59:02;../fake-data/blob/hipster.txt
9;2022-01-17T22:58:24;../fake-data/blob/hipster.txt
10;2022-01-18T02:50:55;../fake-data/blob/hipster.txt
