id;date;result
1;2022-01-17T16:41:58;../fake-data/blob/hipster.txt
2;2022-01-18T08:21:21;../fake-data/blob/hipster.txt
3;2022-01-17T19:59:47;../fake-data/blob/hipster.txt
4;2022-01-18T03:21:40;../fake-data/blob/hipster.txt
5;2022-01-17T18:01:51;../fake-data/blob/hipster.txt
6;2022-01-18T08:19:01;../fake-data/blob/hipster.txt
7;2022-01-18T08:10:32;../fake-data/blob/hipster.txt
8;2022-01-17T20:57:02;../fake-data/blob/hipster.txt
9;2022-01-17T22:56:24;../fake-data/blob/hipster.txt
10;2022-01-18T02:48:55;../fake-data/blob/hipster.txt
